	mean	total	bio	tech	p.value	FDR
Ankrd10	7.12436427582771	9.72356040749016	4.06182261460794	5.66173779288222	5.78937462552458e-05	0.00746722116051458
Def8	7.80265486076373	7.82878071539757	4.03924970484919	3.78953101054837	4.87670565639419e-08	1.25800944062169e-05
Sumo3	8.06931810421199	7.18947189314209	4.03733781297729	3.15213408016481	3.52830155990282e-10	1.59168147820171e-07
Ppt1	7.02051221612517	10.0019088056972	3.99189544761878	6.01001335807843	0.000151247201307293	0.0162067193400814
Hdac1	7.15648567636874	9.47767185060357	3.91588183652466	5.56179001407892	7.39126189145005e-05	0.00887588604723269
Rab18	7.31464317616685	8.98424687097927	3.86002655573473	5.12422031524454	2.970168021462e-05	0.00422948903623246
Aplp2	7.27772427248253	9.06834272991205	3.84562807339592	5.22271465651613	4.0802297146424e-05	0.00541310475475891
Ptprc	6.99047556503924	9.9117312905231	3.79494015750776	6.11679113301534	0.00032425387961189	0.0315864093915639
Eif1a	7.1220858577614	9.44541060964917	3.77643176600134	5.66897884364783	0.000146111053628805	0.0159009920081973
Eif3a	7.8071364799933	7.52015525108714	3.74218478458104	3.7779704665061	2.50242112542384e-07	5.90825869104306e-05
Hnrpdl	7.44926516446752	8.48927123873058	3.735141917734	4.75412932099658	1.60502230747705e-05	0.00240408180033927
Xbp1	7.18395192792714	9.20985819869763	3.73022715118074	5.47963104751689	0.000112656477044541	0.0127585750018737
Tubb4b	8.77321018847916	5.73605090904061	3.72763716914508	2.00841373989553	1.42715098197871e-16	1.52924716761257e-13
Cacybp	7.02782569323247	9.69254381251168	3.70816616039785	5.98437765211382	0.000328568641695516	0.0315952147532174
Sesn1	7.58628094294394	8.05333030420851	3.68128399063056	4.37204631357795	5.3431268711308e-06	0.000942148826770279
Cmpk1	6.9655032079982	9.87547848299792	3.66825836973771	6.20722011326021	0.000533558685386875	0.0473405890919692
Serinc1	7.64581122231561	7.83964509052569	3.63174258190832	4.20790250861738	3.50930032741418e-06	0.000651794047478394
