	mean	total	bio	tech	p.value	FDR
Rnf13	1.98123254836558	3.44835664336196	2.79822136667037	0.650135276691585	0	0
Tmem88b	1.14214696959962	3.44946938638046	2.7802262389051	0.669243147475363	0	0
Csrp1	1.42502917541145	3.46501606921274	2.76303608176817	0.701979987444574	0	0
Scg5	3.46921771506039	3.09181945137498	2.75432866384637	0.337490787528607	0	0
Ndrg4	2.56188820387672	3.27010683770525	2.7542868859979	0.51581995170735	0	0
Gria1	2.4448683638654	3.27143742149817	2.74203574938228	0.52940167211589	0	0
Crym	1.59223496040133	3.34807568260296	2.72454995491774	0.623525727685223	0	0
Pcp4	1.10014839718738	3.36016459886023	2.70276424659412	0.65740035226611	0	0
Mt2	1.06853627012055	3.28389635785368	2.65215801664685	0.63173834120683	0	0
Calm2	5.3147200726793	2.75927251708808	2.63676259490987	0.12250992217821	0	0
Ntm	2.91198226336466	3.05349454082281	2.61205192575322	0.441442615069591	0	0
Taldo1	2.57505259536157	3.10922690109302	2.59492100676588	0.514305894327145	0	0
Sc4mol	2.27273132197416	3.17992028958137	2.5926590806583	0.587261208923072	0	0
Ttc3	3.82931496788863	2.88089197770019	2.59259239662138	0.288299581078809	0	0
Grin2b	2.5061282586762	3.09474382399262	2.57020233543273	0.524541488559893	0	0
Npy	0.67053953821174	3.05422171417797	2.56044933555195	0.493772378626017	0	0
Psat1	1.54586107792113	3.24980098826345	2.55098219248175	0.698818795781694	0	0
Map1b	3.48080886791518	2.88253481428289	2.53674618331135	0.345788630971539	0	0
OTTMUSG00000016609	2.3047855132211	3.09132339492568	2.52692673429435	0.564396660631332	0	0
Nsf	2.68438013294228	3.01464919297942	2.52395570460788	0.490693488371538	0	0
Tspan13	2.17965870824459	3.11566029205352	2.52383304227302	0.591827249780501	0	0
Phgdh	1.25740602491912	3.2065353211111	2.51199325886883	0.694542062242273	0	0
Gstp1	3.75002503953772	2.79874503762755	2.50707438448931	0.291670653138234	0	0
Atp1a3	2.55473998052268	2.9914436682648	2.47393801869929	0.517505649565504	0	0
Prdx6	1.73703428035406	3.07226296875501	2.40303301451851	0.669229954236503	0	0
Gpr37	1.32320558509003	3.09864528964844	2.39928606223907	0.699359227409374	0	0
Cers2	1.32578831601153	3.09073677731004	2.39278885442983	0.697947922880206	0	0
Ywhah	2.71093843235581	2.85869309311317	2.37532246735369	0.483370625759479	0	0
Dbndd2	1.87630991017539	3.02777791038462	2.36177676962488	0.666001140759737	0	0
Celf4	2.44263955097203	2.89846671103	2.35924870474805	0.539218006281957	0	0
Eno2	2.49443723740992	2.88433962831325	2.35590997150775	0.528429656805494	0	0
Mdh1	3.97687915827153	2.61051311731996	2.34422943830234	0.266283679017619	0	0
Fabp5	2.59063816416717	2.85512619044997	2.34325539294197	0.511870797508008	0	0
Glul	1.70551006354843	2.99883029430972	2.31684752527101	0.681982769038712	0	0
Olfm1	2.68096313293064	2.78718075763624	2.29762550475851	0.489555252877723	0	0
Pcsk2	2.22416281049185	2.8697006429927	2.28981163237905	0.579889010613652	0	0
Pllp	0.998261759476151	2.92698207255847	2.28478401983448	0.64219805272399	0	0
Gap43	2.13973018238358	2.86057419749699	2.27698435956656	0.583589837930424	0	0
Zwint	1.90666489996683	2.89156176001421	2.27535859521098	0.616203164803234	0	0
S100b	1.26303422413079	2.95055570255022	2.26980480853739	0.680750894012831	0	0
Scn2a1	2.67852899794078	2.74387880064517	2.25169850748906	0.492180293156104	0	0
Gpr37l1	0.841197029655831	2.83197885741192	2.25086649599707	0.581112361414858	0	0
Ptprd	2.56428388113046	2.76889271495426	2.25067663613514	0.518216078819122	0	0
Vsnl1	2.12175102142515	2.84691215239728	2.24418010561597	0.602732046781318	0	0
D3Bwg0562e	2.72892900041091	2.71977308428375	2.23793428845919	0.481838795824562	0	0
Neurod6	1.77498455067692	2.84382982086741	2.23078836982035	0.613041451047063	0	0
Slc38a2	2.1471369263242	2.84544704924654	2.23058230084781	0.614864748398737	0	0
Sirt2	1.60487605389043	2.91531829398257	2.23019939927406	0.685118894708508	0	0
Grm5	2.32936064479515	2.76833796337524	2.21353932407156	0.554798639303685	0	0
Ppap2b	1.14907647570876	2.86485236503319	2.20637975072042	0.658472614312771	0	0
Gpm6b	3.61244643190505	2.50623696402434	2.19585868870854	0.310378275315803	0	0
Ncdn	2.67962833783939	2.68459247644942	2.19131561378892	0.493276862660496	0	0
Pde1a	2.02361102917957	2.77191311139906	2.18175905861601	0.590154052783053	0	0
Nfasc	2.03127634642609	2.80960636878352	2.17862155541902	0.630984813364503	0	0
Tpi1	3.41208713334892	2.53247742061501	2.16957616309935	0.362901257515656	0	0
Pla2g7	0.789214647961356	2.71608732727613	2.16669187010478	0.549395457171346	0	0
Gja1	0.80848536024607	2.72989656025025	2.16197186664696	0.567924693603299	0	0
Pcdh9	2.32938123920593	2.71848187293223	2.14257583488457	0.575906038047662	0	0
2900097C17Rik	3.48841812172664	2.47262520539801	2.14059845224785	0.332026753150163	0	0
Rgs4	1.91467350349344	2.78578379219789	2.13911066514757	0.64667312705032	0	0
Snurf	3.00270288761268	2.57075157173986	2.13899321453603	0.431758357203828	0	0
Tagln3	1.87732827764894	2.78667200350051	2.13193779197914	0.65473421152137	0	0
Fth1	5.36445353332677	2.24484005873766	2.12535585150869	0.119484207228975	0	0
Prdx1	3.27850902833258	2.47058681194802	2.10284057847415	0.367746233473872	0	0
Tmsb4x	5.52278059605073	2.20477214791261	2.09048976653295	0.114282381379664	0	0
Scg2	1.92853560856814	2.70766773344504	2.08144143177212	0.626226301672918	0	0
Htr3a	0.585177154381328	2.49567033539697	2.07417505624234	0.421495279154626	0	0
Gstm1	0.865023406640978	2.64353395758538	2.06161275207451	0.581921205510872	0	0
Camk2a	2.26062478499685	2.63293545981381	2.05844580689367	0.574489652920145	0	0
Syn2	2.15404573213204	2.6495856958267	2.05176867172575	0.597817024100959	0	0
Slc12a2	1.46757036468523	2.72793460796499	2.02699478564439	0.700939822320598	0	0
